Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails,engineDisplay,forcedInduction
1984,Dodge,Power Ram 50 Pickup,4WD,2.0L I4 ((CALIF)),Manual 4-spd,All-Wheel Drive,Regular Gasoline,Small Pickup Trucks 4WD,4,2.0,18,20,19,,,,,,2.0L I4,
1984,Dodge,Power Ram 50 Pickup,4WD,2.0L I4,Manual 4-spd,All-Wheel Drive,Regular Gasoline,Small Pickup Trucks 4WD,4,2.0,19,21,20,,,,,,2.0L I4,
1984,Dodge,Power Ram 50 Pickup,4WD,"Diesel 2.3L I4 ((DSL,TRBO)) Diesel",Manual 5-spd,All-Wheel Drive,Diesel,Small Pickup Trucks 4WD,4,2.3,23,28,25,,,,,,2.3L I4,
1984,Dodge,Power Ram 50 Pickup,4WD,2.6L I4 ((CALIF)),Automatic 3-spd,All-Wheel Drive,Regular Gasoline,Small Pickup Trucks 4WD,4,2.6,16,17,17,,,,,,2.6L I4,
1984,Dodge,Power Ram 50 Pickup,4WD,2.6L I4,Automatic 3-spd,All-Wheel Drive,Regular Gasoline,Small Pickup Trucks 4WD,4,2.6,17,18,17,,,,,,2.6L I4,
1984,Dodge,Power Ram 50 Pickup,4WD,2.6L I4 ((CALIF)),Manual 5-spd,All-Wheel Drive,Regular Gasoline,Small Pickup Trucks 4WD,4,2.6,17,20,18,,,,,,2.6L I4,
1984,Dodge,Power Ram 50 Pickup,4WD,2.6L I4,Manual 5-spd,All-Wheel Drive,Regular Gasoline,Small Pickup Trucks 4WD,4,2.6,18,21,19,,,,,,2.6L I4,
1984,Dodge,Power Ram 50 Pickup,4WD,2.0L I4 (CA model),Manual 4-spd,All-Wheel Drive,Regular Gasoline,Small Pickup Trucks 4WD,4,2.0,18,20,19,,,,,,2.0L I4,
1984,Dodge,Power Ram 50 Pickup,4WD,"Diesel 2.3L I4 ((DSL,TRBO) CA model) Diesel",Manual 5-spd,All-Wheel Drive,Diesel,Small Pickup Trucks 4WD,4,2.3,22,24,23,,,,,,2.3L I4,
1984,Dodge,Power Ram 50 Pickup,4WD,2.6L I4 (CA model),Automatic 3-spd,All-Wheel Drive,Regular Gasoline,Small Pickup Trucks 4WD,4,2.6,16,17,17,,,,,,2.6L I4,
1984,Dodge,Power Ram 50 Pickup,4WD,2.6L I4 (CA model),Manual 5-spd,All-Wheel Drive,Regular Gasoline,Small Pickup Trucks 4WD,4,2.6,17,20,18,,,,,,2.6L I4,
