Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
2008,Chevrolet,HHR,FWD,2.2L I4,Automatic 4-spd,Front-Wheel Drive,Regular Gasoline,Sport Utility Vehicle - 2WD,4,2.2,22,30,25,,,,,
2008,Chevrolet,HHR,FWD,2.2L I4,Manual 5-spd,Front-Wheel Drive,Regular Gasoline,Sport Utility Vehicle - 2WD,4,2.2,21,30,24,,,,,
2008,Chevrolet,HHR,FWD,2.4L I4,Automatic 4-spd,Front-Wheel Drive,Premium Gasoline,Sport Utility Vehicle - 2WD,4,2.4,22,28,24,,,,,
2008,Chevrolet,HHR,FWD,2.4L I4,Manual 5-spd,Front-Wheel Drive,Premium Gasoline,Sport Utility Vehicle - 2WD,4,2.4,20,28,23,,,,,
2008,Chevrolet,HHR,Panel FWD,2.2L I4,Automatic 4-spd,Front-Wheel Drive,Regular Gasoline,Sport Utility Vehicle - 2WD,4,2.2,22,30,25,,,,,
2008,Chevrolet,HHR,Panel FWD,2.2L I4,Manual 5-spd,Front-Wheel Drive,Regular Gasoline,Sport Utility Vehicle - 2WD,4,2.2,20,30,24,,,,,
2008,Chevrolet,HHR,Panel FWD,2.4L I4,Automatic 4-spd,Front-Wheel Drive,Premium Gasoline,Sport Utility Vehicle - 2WD,4,2.4,22,28,24,,,,,
2008,Chevrolet,HHR,Panel FWD,2.4L I4,Manual 5-spd,Front-Wheel Drive,Premium Gasoline,Sport Utility Vehicle - 2WD,4,2.4,20,29,23,,,,,
2008,Chevrolet,HHR,FWD,2.0L I4,Automatic 4-spd,Front-Wheel Drive,Regular Gasoline,Sport Utility Vehicle - 2WD,4,2.0,19,28,22,,,,,
2008,Chevrolet,HHR,FWD,2.0L I4,Manual 5-spd,Front-Wheel Drive,Regular Gasoline,Sport Utility Vehicle - 2WD,4,2.0,21,29,24,,,,,
